链接,标题,日期
http://chuansong.me/n/1970114836414,原创\\xa0：用户细分的流程与方法,2017-07-12
http://chuansong.me/n/1970114936425,收藏\\xa0:\\xa050个Excel逆天功能，一秒变“表哥”,2017-07-12
http://chuansong.me/n/1965816336523,限免｜这是一节今晚1000+人报名的机器学习课,2017-07-11
http://chuansong.me/n/1965816436523,职场必备：Excel2016，官方推荐使用技巧,2017-07-11
http://chuansong.me/n/1965563136922,实战\\xa0：为自己的公号搭建一个数据运营指标体系,2017-07-10
http://chuansong.me/n/1959870436614,深入浅出之深度学习的机器翻译,2017-07-07
http://chuansong.me/n/1959870536622,如何才能快速掌握Python数据挖掘的技术？,2017-07-07
http://chuansong.me/n/1957542136618,技巧\\xa0：Excel用得好，天天没烦恼,2017-07-06
http://chuansong.me/n/1957542236622,技术\\xa0：一个计算我的妻子是否怀孕的贝叶斯模型,2017-07-06
http://chuansong.me/n/1954764436519,如何区分理解数据科学家与机器学习工程师,2017-07-05
http://chuansong.me/n/1954609636818,关于客户细分那些事，看这一文章就够了,2017-07-04
http://chuansong.me/n/1954609736826,饿了么发布中国外卖大数据\\xa02020年市场规模破5万亿,2017-07-04
http://chuansong.me/n/1945899836022,如何提高图表设计与制作技巧，看这一文章就够了,2017-06-30
http://chuansong.me/n/1945899936026,通过实战提升R\\xa0语言机器学习与贝叶斯复杂数据分析能力,2017-06-30
http://chuansong.me/n/1943838336815,分享\\xa0：如何实现成功的数据治理,2017-06-29
http://chuansong.me/n/1943838436818,干货\\xa0：数据地图让你的商业分析高大上,2017-06-29
http://chuansong.me/n/1935199036123,如何掌握数据化运营的思维方式，看这一文章就够了,2017-06-26
http://chuansong.me/n/1916372736118,大师赛发布！挖掘复杂网络中的关键节点,2017-06-20
http://chuansong.me/n/1916372836127,推荐\\xa0：深度学习初学者不可不知的25个术语和概念（下）,2017-06-20
http://chuansong.me/n/1916372936713,数据新人如何培养数据思维？,2017-06-19
http://chuansong.me/n/1916373036714,简单六步，用数据说服你的听众,2017-06-19
http://chuansong.me/n/1916373136322,解读APP运营分析\\xa0：掌握四六运营法则是关键,2017-06-16
http://chuansong.me/n/1916373236316,干货\\xa0：如何看穿数据可视化的谎言,2017-06-16
